Marché Plus KSK ; 54 rue Danielle Casanova ;93200; SAINT DENIS; 2.3622118 ; 48.9289286
Kouame Amenan ; 13 all Che Guevara ;93200; SAINT DENIS; 2.365284 ; 48.9453284
BAKDISCOUNT ; 20 boulevard Carnot ;93200; SAINT DENIS; 2.3525705 ; 48.9384988
SENPAHAM ; 12 rue Gabriel Péri ;93200; SAINT DENIS; 2.356282 ; 48.931184
Les Savenueeurs Du Monde ; 135 rue Gabriel Péri ;93200; SAINT DENIS; 2.3564824 ; 48.9409038
Ben Youssef Khaled ; 1 Bis rue Gaston Philippe ;93200; SAINT DENIS; 2.35067 ; 48.938865
TILILA ; 2 rue Muguets ;93200; SAINT DENIS; 2.3668537 ; 48.9318313
Ahanaa ; 55 rue Danielle Casanova ;93200; SAINT DENIS; 2.3657566 ; 48.9267958
Kassa Layachi ; 2 rue Liberté ;93200; SAINT DENIS; 2.3654268 ; 48.9438558
Espace Basilique ; 65 rue Strasbourg ;93200; SAINT DENIS; 2.3647871 ; 48.9360782
MEGHNA CASH AND CARRY ; 78 boulevard Marcel Sembat ;93200; SAINT DENIS; 2.348725 ; 48.934972
Palmeraie (SARL) ; 133 rue Gabriel Péri ;93200; SAINT DENIS; 2.3564458 ; 48.9405939
OMC 77 ; 12 rue Jules Joffrin ;93200; SAINT DENIS; 2.357564 ; 48.937229
Medjoub Abdenebi ; 4 rue Jules Joffrin ;93200; SAINT DENIS; 2.356901 ; 48.93726
LASMILA STORE ; 30 boulevard Jules Guesde ;93200; SAINT DENIS; 2.3502132 ; 48.9357148
Franprix ; 38 rue Auguste Poullain ;93200; SAINT DENIS; 2.3523695399210407 ; 48.9411288
G20 ;16 rue Port ;93200; SAINT DENIS; 2.3435881 ; 48.9359996
Market (SARL) ; 3 rue Charles Cros ;93200; SAINT DENIS; 2.364877 ; 48.92732
Ait Ahmed ; 54 avenue Paul Vaillant Couturier ;93200; SAINT DENIS; 2.3651151236111088 ; 48.93193545
Eleskl Floreal ; 5 prom Basilique ;93200; SAINT DENIS; 2.382091 ; 48.942156
Franprix ; 8 avenue George Sand ;93210; SAINT DENIS; 2.3646794 ; 48.9071937
Idm Bark Ali ;227 Avenue du Président Wilson ;93210; SAINT DENIS; 2.357335 ; 48.914758
KANIS ; 88 avenue de Stalingrad ;93200; SAINT DENIS; 2.372023 ; 48.946882
Aboulfadam Jamaa ; 65 rue Strasbourg ;93200; SAINT DENIS; 2.3647871 ; 48.9360782
AD9 ; 9 rue Auguste Delaune ;93200; SAINT DENIS; 2.349346 ; 48.936811
HYPER DISCOUNT ; 92 Bis rue Gabriel Péri ;93200; SAINT DENIS; 2.356349 ; 48.9379518
Amena Alimentation ; 29 boulevard Marcel Sembat ;93200; SAINT DENIS; 2.3518527 ; 48.9324505
Franprix ; 34 rue République ;93200; SAINT DENIS; 2.3541796172530067 ; 48.934440612644195
Taourit Sasu ; 29 rue Danielle Casanova ;93200; SAINT DENIS; 2.3628852 ; 48.9283819
Saaj ; 4 rue Corbillon ;93200; SAINT DENIS; 2.353677 ; 48.9379993
Chouabnia Karim ; 59 rue Henri Barbusse ;93200; SAINT DENIS; 2.371957 ; 48.94148
SOCIETE COMMERCIAL SOLEIL ; 26 boulevard Félix Faure ;93200; SAINT DENIS; 2.360467 ; 48.938793
Franprixs ; 82 boulevard Marcel Sembat ;93200; SAINT DENIS; 2.347955 ; 48.935402
TROPICAL MER QUATRE VINGT ; 8 rue Jules Joffrin ;93200; SAINT DENIS; 2.357285 ; 48.937243
YAZID ; 27 rue Auguste Delaune ;93200; SAINT DENIS; 2.347892 ; 48.936557
Franprix ; 226 avenue du Président Wilson ;93200; SAINT DENIS; 2.358195 ; 48.915135
Beggui El Hassan ; 22 boulevard Marcel Sembat ;93200; SAINT DENIS; 2.3538445 ; 48.9314727
Monoprix ;19 rue Cheminots ;93200; SAINT DENIS; 2.352559 ; 48.916737
AU TADART ; 19 rue Jean Jaurès ;93200; SAINT DENIS; 2.359768 ; 48.937017
Shalom Exotique Communications ; 15 rue Edouard Vaillant ;93200; SAINT DENIS; 2.360632 ; 48.938021
Prix Shop SARL ; 5 rue du Général Joinville ;93200; SAINT DENIS; 2.368634 ; 48.935229
Amena Alimentation ; 29 boulevard Marcel Sembat ;93200; SAINT DENIS; 2.3518527 ; 48.9324505
Franprix ; 34 rue République ;93200; SAINT DENIS; 2.3541796172530067 ; 48.934440612644195
Taourit Sasu ; 29 rue Danielle Casanova ;93200; SAINT DENIS; 2.3628852 ; 48.9283819
Saaj ; 4 rue Corbillon ;93200; SAINT DENIS; 2.353677 ; 48.9379993
Chouabnia Karim ; 59 rue Henri Barbusse ;93200; SAINT DENIS; 2.371957 ; 48.94148
SOCIETE COMMERCIAL SOLEIL ; 26 boulevard Félix Faure ;93200; SAINT DENIS; 2.360467 ; 48.938793
Franprixs ; 82 boulevard Marcel Sembat ;93200; SAINT DENIS; 2.347955 ; 48.935402
TROPICAL MER QUATRE VINGT ; 8 rue Jules Joffrin ;93200; SAINT DENIS; 2.357285 ; 48.937243
